,0
Year,16.0
CDSCode,19647251995539.0
Year,16.0
CDSCode,19647251995570.0
Year,16.0
CDSCode,19647251995935.0
Year,16.0
CDSCode,19647251996503.0
Year,16.0
CDSCode,19647330100677.0
Year,16.0
CDSCode,19647330100750.0
Year,16.0
CDSCode,19647330100800.0
Year,16.0
CDSCode,19647330101196.0
Year,16.0
CDSCode,19647330101329.0
Year,16.0
CDSCode,19647330101659.0
Year,16.0
CDSCode,19647330101675.0
Year,16.0
CDSCode,19647330102137.0
Year,16.0
CDSCode,19647330102434.0
Year,16.0
CDSCode,19647330102764.0
Year,16.0
CDSCode,19647330102913.0
Year,16.0
CDSCode,19647330102921.0
Year,16.0
CDSCode,19647330106831.0
Year,16.0
CDSCode,19647330106849.0
Year,16.0
CDSCode,19647330106997.0
Year,16.0
CDSCode,19647330107003.0
Year,16.0
CDSCode,19647330107755.0
Year,16.0
CDSCode,19647330108878.0
Year,16.0
CDSCode,19647330108894.0
Year,16.0
CDSCode,19647330108936.0
Year,16.0
CDSCode,19647330109447.0
Year,16.0
CDSCode,19647330109454.0
Year,16.0
CDSCode,19647330109462.0
Year,16.0
CDSCode,19647330109512.0
Year,16.0
CDSCode,19647330110668.0
Year,16.0
CDSCode,19647330111484.0
Year,16.0
CDSCode,19647330111492.0
Year,16.0
CDSCode,19647330111500.0
Year,16.0
CDSCode,19647330111575.0
Year,16.0
CDSCode,19647330111583.0
Year,16.0
CDSCode,19647330111625.0
Year,16.0
CDSCode,19647330111658.0
Year,16.0
CDSCode,19647330112029.0
Year,16.0
CDSCode,19647330112037.0
Year,16.0
CDSCode,19647330112045.0
Year,16.0
CDSCode,19647330112052.0
Year,16.0
CDSCode,19647330112508.0
Year,16.0
CDSCode,19647330112870.0
Year,16.0
CDSCode,19647330114850.0
Year,16.0
CDSCode,19647330115253.0
Year,16.0
CDSCode,19647330116509.0
Year,16.0
CDSCode,19647330116954.0
Year,16.0
CDSCode,19647330117051.0
Year,16.0
CDSCode,19647330117069.0
Year,16.0
CDSCode,19647330117077.0
Year,16.0
CDSCode,19647330117598.0
Year,16.0
CDSCode,19647330117606.0
Year,16.0
CDSCode,19647330117622.0
Year,16.0
CDSCode,19647330117721.0
Year,16.0
CDSCode,19647330117747.0
Year,16.0
CDSCode,19647330117762.0
Year,16.0
CDSCode,19647330117911.0
Year,16.0
CDSCode,19647330118588.0
Year,16.0
CDSCode,19647330119727.0
Year,16.0
CDSCode,19647330119966.0
Year,16.0
CDSCode,19647330120360.0
Year,16.0
CDSCode,19647330120808.0
Year,16.0
CDSCode,19647330121285.0
Year,16.0
CDSCode,19647330121293.0
Year,16.0
CDSCode,19647330122333.0
Year,16.0
CDSCode,19647330122341.0
Year,16.0
CDSCode,19647330122358.0
Year,16.0
CDSCode,19647330122366.0
Year,16.0
CDSCode,19647330122374.0
Year,16.0
CDSCode,19647330122382.0
Year,16.0
CDSCode,19647330122606.0
Year,16.0
CDSCode,19647330123133.0
Year,16.0
CDSCode,19647330123141.0
Year,16.0
CDSCode,19647330124362.0
Year,16.0
CDSCode,19647330124370.0
Year,16.0
CDSCode,19647330124388.0
Year,16.0
CDSCode,19647330124396.0
Year,16.0
CDSCode,19647330124404.0
Year,16.0
CDSCode,19647330124479.0
Year,16.0
CDSCode,19647330124487.0
Year,16.0
CDSCode,19647330124495.0
Year,16.0
CDSCode,19647330124503.0
Year,16.0
CDSCode,19647330124511.0
Year,16.0
CDSCode,19647330124560.0
Year,16.0
CDSCode,19647330124891.0
Year,16.0
CDSCode,19647330124933.0
Year,16.0
CDSCode,19647330124941.0
Year,16.0
CDSCode,19647330125864.0
Year,16.0
CDSCode,19647330125989.0
