,,,DATA AS OF: August 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
227,H.D. Cooke Elementary School,ALL,128,18,29,32,43,6,49,0.141,0.227,0.250,0.336,4.6875E-2,0.383,130,6,20,49,47,8,55,4.6153846153846156E-2,0.154,0.377,0.362,6.1538461538461542E-2,0.423,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,03,32,11,9,5,7,0,7,0.344,0.281,0.156,0.219,0.000,0.219,31,9,11,6,5,0,5,0.290,0.355,0.194,0.161,0.000,0.161,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,04,34,12,4,11,6,1,7,0.353,0.118,0.324,0.176,2.9411764705882353E-2,0.206,33,14,11,5,3,0,3,0.424,0.333,0.152,9.0909090909090912E-2,0.000,9.0909090909090912E-2,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,05,31,12,5,11,3,0,3,0.387,0.161,0.355,9.6774193548387094E-2,0.000,9.6774193548387094E-2,31,13,10,3,5,0,5,0.419,0.323,9.6774193548387094E-2,0.161,0.000,0.161,.,,,,,,,,,,,.,,,,,,,,,,
231,Drew Elementary School,ALL,97,35,18,27,16,1,17,0.361,0.186,0.278,0.165,1.0309278350515464E-2,0.175,95,36,32,14,13,0,13,0.379,0.337,0.147,0.137,0.000,0.137,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,03,64,2,5,12,42,3,45,3.125E-2,7.8125E-2,0.188,0.656,4.6875E-2,0.703,64,1,4,9,38,12,50,1.5625E-2,6.25E-2,0.141,0.594,0.188,0.781,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,04,76,1,6,16,28,25,53,1.3157894736842105E-2,7.8947368421052627E-2,0.211,0.368,0.329,0.697,76,6,5,10,46,9,55,7.8947368421052627E-2,6.5789473684210523E-2,0.132,0.605,0.118,0.724,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,05,59,1,3,7,38,10,48,1.6949152542372881E-2,5.0847457627118647E-2,0.119,0.644,0.169,0.814,59,0,7,14,28,10,38,0.000,0.119,0.237,0.475,0.169,0.644,.,,,,,,,,,,,.,,,,,,,,,,
232,Eaton Elementary School,ALL,199,4,14,35,108,38,146,2.0100502512562814E-2,7.0351758793969849E-2,0.176,0.543,0.191,0.734,199,7,16,33,112,31,143,3.5175879396984924E-2,8.0402010050251257E-2,0.166,0.563,0.156,0.719,.,,,,,,,,,,,.,,,,,,,,,,
238,Garfield Elementary School,03,52,25,12,7,8,0,8,0.481,0.231,0.135,0.154,0.000,0.154,52,21,12,11,8,0,8,0.404,0.231,0.212,0.154,0.000,0.154,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
238,Garfield Elementary School,04,35,11,6,10,7,1,8,0.314,0.171,0.286,0.200,2.8571428571428571E-2,0.229,35,12,13,8,2,0,2,0.343,0.371,0.229,5.7142857142857141E-2,0.000,5.7142857142857141E-2,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
238,Garfield Elementary School,05,37,13,14,7,3,0,3,0.351,0.378,0.189,8.1081081081081086E-2,0.000,8.1081081081081086E-2,37,11,16,6,4,0,4,0.297,0.432,0.162,0.108,0.000,0.108,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
238,Garfield Elementary School,ALL,124,49,32,24,18,1,19,0.395,0.258,0.194,0.145,8.0645161290322578E-3,0.153,124,44,41,25,14,0,14,0.355,0.331,0.202,0.113,0.000,0.113,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
239,Garrison Elementary School,03,18,2,4,8,3,1,4,0.111,0.222,0.444,0.167,5.5555555555555552E-2,0.222,18,0,3,9,6,0,6,0.000,0.167,0.500,0.333,0.000,0.333,.,,,,,,,,,,,.,,,,,,,,,,
239,Garrison Elementary School,04,28,1,4,10,9,4,13,3.5714285714285712E-2,0.143,0.357,0.321,0.143,0.464,28,1,7,8,11,1,12,3.5714285714285712E-2,0.250,0.286,0.393,3.5714285714285712E-2,0.429,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
239,Garrison Elementary School,05,24,1,6,2,15,0,15,4.1666666666666664E-2,0.250,8.3333333333333329E-2,0.625,0.000,0.625,24,1,9,7,7,0,7,4.1666666666666664E-2,0.375,0.292,0.292,0.000,0.292,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
239,Garrison Elementary School,ALL,70,4,14,20,27,5,32,5.7142857142857141E-2,0.200,0.286,0.386,7.1428571428571425E-2,0.457,70,2,19,24,24,1,25,2.8571428571428571E-2,0.271,0.343,0.343,1.4285714285714285E-2,0.357,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,06,153,7,14,30,66,36,102,4.5751633986928102E-2,9.1503267973856203E-2,0.196,0.431,0.235,0.667,153,11,26,37,67,12,79,7.1895424836601302E-2,0.170,0.242,0.438,7.8431372549019607E-2,0.516,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,07,138,4,20,20,55,39,94,2.8985507246376812E-2,0.145,0.145,0.399,0.283,0.681,138,4,27,51,39,17,56,2.8985507246376812E-2,0.196,0.370,0.283,0.123,0.406,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,08,134,10,12,20,59,33,92,7.4626865671641784E-2,8.9552238805970144E-2,0.149,0.440,0.246,0.687,133,28,25,20,51,9,60,0.211,0.188,0.150,0.383,6.7669172932330823E-2,0.451,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,ALL,425,21,46,70,180,108,288,4.9411764705882349E-2,0.108,0.165,0.424,0.254,0.678,424,43,78,108,157,38,195,0.101,0.184,0.255,0.370,8.9622641509433956E-2,0.460,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
