CDSCode,County,District,School,City,Charter,Virtual,Magnet,Latitude,Longitude,Public Yes/No,Percent,M1,M2,M3,M4,M5,M6,M7,F1,F2,F3,F4,F5,F6,F7
1612590130179.0,Alameda,Oakland Unified,Street Academy Alternative High,Oakland,N,N,N,37.817842,-122.26548,Y,0.72,0.0,0.06,0.0,0.0,0.16,0.23,0.03,0.01,0.03,0.0,0.0,0.21,0.25,0.0
1612590132688.0,Alameda,Oakland Unified,Dewey Academy High,Oakland,N,N,N,37.796705,-122.25817,Y,0.724,0.0043859649122807,0.0833333333333333,0.0043859649122807,0.0,0.293859649122807,0.2587719298245614,0.0087719298245614,0.0043859649122807,0.0263157894736842,0.0175438596491228,0.0087719298245614,0.1447368421052631,0.131578947368421,0.0043859649122807
1612590135905.0,Alameda,Oakland Unified,Oakland High,Oakland,N,N,N,37.805290,-122.23652,Y,0.883,0.0025608194622279,0.1613316261203585,0.0070422535211267,0.0070422535211267,0.1581306017925736,0.1562099871959026,0.0102432778489116,0.0012804097311139,0.1504481434058898,0.0051216389244558,0.0064020486555697,0.1370038412291933,0.1670934699103713,0.0083226632522407
1612590136051.0,Alameda,Oakland Unified,Oakland Technical High,Oakland,N,N,N,37.831725,-122.25413,Y,0.476,0.000984736582964,0.1024126046282619,0.0024618414574101,0.0083702609551944,0.0797636632200886,0.1467257508616445,0.1176760216642048,0.000984736582964,0.103397341211226,0.000492368291482,0.0073855243722304,0.0891186607582471,0.1486952240275726,0.1132447070408665
1612590137943.0,Alameda,Oakland Unified,Skyline High,Oakland,N,N,N,37.797495,-122.16360,Y,0.759,0.0065111231687466,0.065111231687466,0.0081389039609332,0.0119370591427021,0.2224633749321758,0.1562669560499186,0.0330982094411285,0.0032555615843733,0.0727075420510038,0.0103092783505154,0.0070537167661421,0.1795984807379272,0.1562669560499186,0.0282148670645686
1612750130286.0,Alameda,Piedmont City Unified,Millennium High Alternative,Piedmont,N,N,N,37.822804,-122.23393,Y,0.0615,0.0,0.0,0.0,0.0294117647058823,0.088235294117647,0.0735294117647058,0.2941176470588235,0.0147058823529411,0.0441176470588235,0.0,0.0147058823529411,0.0588235294117647,0.0294117647058823,0.2352941176470588
1612750136515.0,Alameda,Piedmont City Unified,Piedmont High,Piedmont,N,N,N,37.823674,-122.23290,Y,0.0114,0.0,0.0739827373612823,0.0,0.0036991368680641,0.0246609124537607,0.0098643649815043,0.31442663378545,0.0,0.0752157829839704,0.001233045622688,0.0073982737361282,0.0221948212083847,0.0073982737361282,0.3057953144266337
1612910134528.0,Alameda,San Leandro Unified,Lincoln High (Continuation),San Leandro,N,N,N,37.708315,-122.15987,Y,0.739,0.0,0.0277777777777777,0.0138888888888888,0.0347222222222222,0.3541666666666667,0.1736111111111111,0.0138888888888888,0.0,0.0069444444444444,0.0069444444444444,0.0069444444444444,0.2083333333333333,0.1111111111111111,0.0277777777777777
1612910137588.0,Alameda,San Leandro Unified,San Leandro High,San Leandro,N,N,N,37.717128,-122.14256,Y,0.62,0.000383435582822,0.0901073619631901,0.0061349693251533,0.040260736196319,0.236963190184049,0.0866564417177914,0.0506134969325153,0.0007668711656441,0.0755368098159509,0.0069018404907975,0.0456288343558282,0.214340490797546,0.0824386503067484,0.0356595092024539
1613090111799.0,Alameda,San Lorenzo Unified,East Bay Arts High,San Lorenzo,N,N,N,37.688571,-122.12252,Y,0.69,0.0,0.0088495575221238,0.0088495575221238,0.0176991150442477,0.2212389380530973,0.0752212389380531,0.0752212389380531,0.0,0.0265486725663716,0.0132743362831858,0.0176991150442477,0.3185840707964602,0.1327433628318584,0.0619469026548672
