CDSCode,County,District,School,City,Charter,SOCType,Virtual,Magnet,Latitude,Longitude
7773540132233,Contra Costa,SBE - John Henry High,John Henry High,Richmond,Y,High Schools In 1 School Dist. (Public),N,N,37.912765,-122.35488
8100820106625,Del Norte,Del Norte County Office of Education,Elk Creek,Crescent City,N,Juvenile Court Schools,N,N,41.764722,-124.19164
8100820830042,Del Norte,Del Norte County Office of Education,Del Norte Community,Crescent City,N,County Community,N,N,41.767783,-124.20745
8618200833004,Del Norte,Del Norte County Unified,Del Norte High,Crescent City,N,High Schools (Public),N,N,41.767313,-124.20913
8618200836205,Del Norte,Del Norte County Unified,Sunset High,Crescent City,N,Continuation High Schools,N,N,41.809252,-124.15409
8743510890012,Del Norte,Del Norte County ROP,Del Norte County ROP,Crescent City,N,ROC/ROP,No Data,No Data,41.767313,-124.20913
9100900106047,El Dorado,El Dorado County Office of Education,Blue Ridge,South Lake Tahoe,N,Juvenile Court Schools,N,N,38.934026,-119.97346
9100900930016,El Dorado,El Dorado County Office of Education,Golden Ridge,Placerville,N,Juvenile Court Schools,N,N,38.727271,-120.82766
9100900930123,El Dorado,El Dorado County Office of Education,Charter Community School Home Study Academy,Placerville,Y,County Community,N,N,38.720320,-120.86639
9100900930131,El Dorado,El Dorado County Office of Education,Rite of Passage,Yerington,Y,Juvenile Court Schools,N,N,39.082400,-119.21840
9618530930081,El Dorado,El Dorado Union High,Oak Ridge High,El Dorado Hills,N,High Schools (Public),N,N,38.681693,-121.07067
9618530930164,El Dorado,El Dorado Union High,Union Mine High,El Dorado,N,High Schools (Public),N,N,38.681607,-120.83827
9618530930214,El Dorado,El Dorado Union High,Pacific Crest Academy,El Dorado,Y,High Schools (Public),V,N,38.681781,-120.83825
9618530932756,El Dorado,El Dorado Union High,El Dorado High,Placerville,N,High Schools (Public),N,N,38.732336,-120.81274
9618530934554,El Dorado,El Dorado Union High,Independence Continuation,Diamond Springs,N,Continuation High Schools,N,N,38.693266,-120.82212
9618530936302,El Dorado,El Dorado Union High,Ponderosa High,Shingle Springs,N,High Schools (Public),N,N,38.673083,-120.94318
9619030930040,El Dorado,Lake Tahoe Unified,Mt. Tallac High,South Lake Tahoe,N,Continuation High Schools,C,N,38.907361,-120.01261
9619030937805,El Dorado,Lake Tahoe Unified,South Tahoe High,South Lake Tahoe,N,High Schools (Public),C,N,38.907361,-120.01261
9737830930073,El Dorado,Black Oak Mine Unified,Golden Sierra Junior Senior High,Garden Valley,N,High Schools (Public),N,N,38.848227,-120.85818
9737830930099,El Dorado,Black Oak Mine Unified,Divide High,Georgetown,N,Continuation High Schools,N,N,38.910901,-120.83392
9743770990010,El Dorado,Central Sierra ROP,Central Sierra ROP,Placerville,N,ROC/ROP,No Data,No Data,38.720320,-120.86639
10101080109991,Fresno,Fresno County Office of Education,Crescent View West Public Charter,Fresno,Y,K-12 Schools (Public),N,N,36.780422,-119.78930
10101080136291,Fresno,Fresno County Office of Education,Career Technical Education Charter,Fresno,Y,High Schools (Public),N,N,36.760027,-119.77896
10101081030337,Fresno,Fresno County Office of Education,Alice M. Worsley,Fresno,N,Juvenile Court Schools,N,N,36.663425,-119.73137
10101081030899,Fresno,Fresno County Office of Education,Violet Heintz Education Academy,Fresno,N,County Community,N,N,36.770700,-119.73018
10621170110270,Fresno,Clovis Unified,Clovis Community Day Secondary,Clovis,N,District Community Day Schools,N,N,36.834858,-119.68312
10621170113555,Fresno,Clovis Unified,Clovis North High,Fresno,N,High Schools (Public),N,N,36.890690,-119.73344
10621170118018,Fresno,Clovis Unified,Clovis Online Charter,Clovis,Y,K-12 Schools (Public),V,N,36.833213,-119.68406
10621171030196,Fresno,Clovis Unified,Clovis West High,Fresno,N,High Schools (Public),N,N,36.859235,-119.76356
10621171030501,Fresno,Clovis Unified,Buchanan High,Clovis,N,High Schools (Public),N,N,36.857338,-119.71317
10621171030683,Fresno,Clovis Unified,Clovis East High,Clovis,N,High Schools (Public),N,N,36.797552,-119.63892
10621171031004,Fresno,Clovis Unified,Gateway High (Continuation),Clovis,N,Continuation High Schools,N,N,36.837605,-119.68745
10621171031053,Fresno,Clovis Unified,Clovis High,Clovis,N,High Schools (Public),N,N,36.818233,-119.68183
10621251030113,Fresno,Coalinga-Huron Unified,Cambridge High,Coalinga,N,Continuation High Schools,C,N,36.145137,-120.35980
10621251030477,Fresno,Coalinga-Huron Unified,Chesnut High (Continuation),Huron,N,Continuation High Schools,C,N,36.210331,-120.09857
10621251030873,Fresno,Coalinga-Huron Unified,Miles W. Culwell Community Day,Coalinga,N,District Community Day Schools,C,N,36.150900,-120.36231
10621251031376,Fresno,Coalinga-Huron Unified,Coalinga High,Coalinga,N,High Schools (Public),C,N,36.144332,-120.36327
10621580108977,Fresno,Fowler Unified,Fowler Academy Community Day (9-12),Fowler,N,District Community Day Schools,N,N,36.634489,-119.66768
10621580120246,Fresno,Fowler Unified,Fowler Academy Independent Study,Fowler,N,Alternative Schools of Choice,V,N,36.634485,-119.66766
10621581031954,Fresno,Fowler Unified,Fowler Academy Continuation,Fowler,N,Continuation High Schools,N,N,36.634489,-119.66768
10621581032150,Fresno,Fowler Unified,Fowler High,Fowler,N,High Schools (Public),N,N,36.633092,-119.67268
10621660108555,Fresno,Fresno Unified,Design Science Middle College High,Fresno,N,Alternative Schools of Choice,N,Y,36.768182,-119.79604
10621660114553,Fresno,Fresno Unified,University High,Fresno,Y,High Schools (Public),N,N,36.809710,-119.74805
10621660120964,Fresno,Fresno Unified,Phoenix Secondary,Fresno,N,District Community Day Schools,N,N,36.714597,-119.71348
10621660132134,Fresno,Fresno Unified,Phillip J Patino School of Entrepreneurship,Fresno,N,High Schools (Public),N,Y,36.769549,-119.78828
10621660140806,Fresno,Fresno Unified,Aspen Ridge Public,Fresno,Y,High Schools (Public),C,N,36.787487,-119.78559
10621661030279,Fresno,Fresno Unified,Bullard High,Fresno,N,High Schools (Public),N,N,36.817150,-119.81057
10621661030295,Fresno,Fresno Unified,Erma Duncan Polytechnical High,Fresno,N,High Schools (Public),N,Y,36.785032,-119.75317
10621661030584,Fresno,Fresno Unified,Cambridge Continuation High,Fresno,N,Continuation High Schools,N,N,36.733479,-119.73632
10621661030642,Fresno,Fresno Unified,School of Unlimited Learning,Fresno,Y,High Schools (Public),N,N,36.742565,-119.79289
